,open,high,low,close,volume,adj_close
2026-04-02,272.29,279.04,271.53,277.26,6407008,277.26
2026-04-06,277.875,283.3,277.25,281.36,7097033,281.36
2026-04-07,308.845,312.43,300.75,307.73,22099830,307.73
2026-04-08,312.0,312.97,304.8317,305.98,9645031,305.98
2026-04-09,305.82,307.885,304.14,306.91,5742017,306.91
2026-04-10,307.95,310.3699,304.2,304.33,5212893,304.33
2026-04-13,303.25,313.32,302.92,313.0,7972223,313.0
2026-04-14,312.51,319.62,312.51,314.19,5864506,314.19
2026-04-15,316.0,317.76,311.145,314.05,5041157,314.05
2026-04-16,315.0,318.61,313.1101,316.4,5205638,316.4
2026-04-17,320.05,325.27,317.135,324.63,9414685,324.63
2026-04-20,324.19,325.4,320.12,323.48,9050575,323.48
2026-04-21,353.01,357.68,345.23,346.01,26097320,346.01
2026-04-22,350.88,358.56,349.1,353.52,11807254,353.52
2026-04-23,354.68,356.85,350.5,354.56,7255802,354.56
2026-04-24,356.49,358.28,351.385,354.92,8554577,354.92
2026-04-27,353.91,356.49,348.95,354.69,7256096,354.69
2026-04-28,356.84,369.63,355.72,366.77,10604095,366.77
2026-04-29,366.0,370.84,365.01,370.74,9046553,370.74
2026-04-30,368.51,371.99,363.0036,370.48,6879865,370.48
2026-05-01,371.96,372.9,367.02,368.78,4945442,368.78
2026-05-04,368.55,370.83,364.65,370.75,4916862,370.75
2026-05-05,370.475,371.8,361.8108,363.87,6489023,363.87
2026-05-06,363.1,368.55,358.25,367.28,6695494,367.28
2026-05-07,366.64,369.81,364.72,369.74,5235407,369.74
2026-05-08,371.99,379.98,371.99,379.98,6455080,379.98
2026-05-11,380.45,384.81,376.0707,384.44,6949607,384.44
2026-05-12,382.85,397.415,382.01,396.39,9236323,396.39
2026-05-13,396.5,404.15,393.0,401.16,8454062,401.16
2026-05-14,401.0,401.899,396.0,399.09,5342488,399.09
2026-05-15,394.3,397.63,390.25,393.85,9811193,393.85
2026-05-18,390.0,392.14,383.5001,391.13,8400656,391.13
2026-05-19,390.0,394.99,387.51,389.24,5016806,389.24
2026-05-20,389.55,393.38,380.7,383.3,7669765,383.3
2026-05-21,381.12,386.105,380.54,382.48,4732450,382.48
2026-05-22,381.92,390.54,381.01,388.47,5602085,388.47
2026-05-26,386.0,386.52,376.4101,376.86,6498144,376.86
2026-05-27,378.425,384.53,377.09,384.01,4546689,384.01
2026-05-28,384.96,389.26,380.955,382.53,4334784,382.53
2026-05-29,383.78,385.12,375.45,380.31,10262268,380.31
2026-06-01,376.105,383.345,375.92,379.86,6623720,379.86
2026-06-02,377.98,380.08,374.7243,377.92,3874403,377.92
2026-06-03,380.0,387.46,376.81,377.0,6808435,377.0
