,open,high,low,close,volume,adj_close
2026-02-05,600.21,604.81,594.76,597.03,89354492,597.03
2026-02-06,600.19,611.41,598.77,609.65,78019338,609.65
2026-02-09,607.54,616.46,605.07,614.32,56797557,614.32
2026-02-10,615.305,617.02,611.01,611.47,53938859,611.47
2026-02-11,616.38,617.52,607.69,613.11,58575101,613.11
2026-02-12,614.71,615.81,599.57,600.64,81378903,600.64
2026-02-13,600.43,606.48,596.42,601.92,69237547,601.92
2026-02-17,598.375,603.95,593.34,601.3,69013763,601.3
2026-02-18,602.11,609.771,600.72,605.79,64250668,605.79
2026-02-19,602.81,605.815,600.75,603.47,60960839,603.47
2026-02-20,600.12,610.35,599.23,608.81,74127323,608.81
2026-02-23,606.605,608.01,599.05,601.41,63859111,601.41
2026-02-24,602.4,608.99,599.73,607.87,55023732,607.87
2026-02-25,611.07,616.83,611.0,616.68,55710653,616.68
2026-02-26,615.59,615.59,603.98,609.24,96178870,609.24
2026-02-27,602.98,608.32,602.19,607.29,68125196,607.29
2026-03-02,598.86,609.92,597.99,608.09,75264644,608.09
2026-03-03,596.33,603.96,591.87,601.58,97015532,601.58
2026-03-04,604.16,612.88,603.43,610.75,70943888,610.75
2026-03-05,607.4,612.76,602.26,608.91,89602407,608.91
2026-03-06,600.31,606.0,598.33,599.75,86302307,599.75
2026-03-09,594.225,609.27,591.33,607.76,93068170,607.76
2026-03-10,607.78,613.29,605.42,607.77,64078867,607.77
2026-03-11,608.95,612.43,605.03,607.69,60114800,607.69
2026-03-12,602.76,604.14,597.05,597.26,71836629,597.26
2026-03-13,599.73,603.5999,592.57,593.72,63145490,593.72
2026-03-16,600.04,603.86,599.11,600.38,49077155,600.38
2026-03-17,603.14,605.9,601.87,603.31,47106607,603.31
2026-03-18,601.49,603.16,594.56,594.9,56127962,594.9
2026-03-19,589.51,595.8,587.08,593.02,75597578,593.02
2026-03-20,591.06,591.17,578.54,582.06,91964677,582.06
2026-03-23,590.52,595.08,585.96,588.0,89936118,588.0
2026-03-24,584.81,587.93,581.93,583.98,57750895,583.98
2026-03-25,589.14,591.37,585.69,587.82,60475491,587.82
2026-03-26,582.6,584.63,573.43,573.79,81492124,573.79
2026-03-27,570.81,571.02,561.57,562.58,82702240,562.58
2026-03-30,567.38,568.05,555.6,558.28,70602622,558.28
2026-03-31,564.29,578.64,564.21,577.18,95877997,577.18
2026-04-01,581.48,587.739,580.42,584.31,79435132,584.31
2026-04-02,573.97,586.05,571.92,584.98,50941709,584.98
2026-04-06,586.23,590.61,584.69,588.5,35108496,588.5
2026-04-07,585.64,588.98,578.4001,588.59,49948195,588.59
2026-04-08,608.71,609.9,602.12,606.09,63085996,606.09
2026-04-09,605.93,610.5,603.03,610.19,37837538,610.19
2026-04-10,611.84,613.67,609.58,611.07,34038533,611.07
2026-04-13,609.48,626.74,608.11,617.39,32972110,617.39
2026-04-14,620.22,628.6,620.1,628.6,49921081,628.6
2026-04-15,629.08,637.83,628.2,637.4,50102386,637.4
2026-04-16,639.21,642.18,635.255,640.47,42320581,640.47
2026-04-17,645.59,650.0,644.07,648.85,53488871,648.85
2026-04-20,648.04,648.76,642.52,646.79,37138511,646.79
2026-04-21,648.41,650.2,642.21,644.33,39580523,644.33
2026-04-22,650.15,655.33,648.52,655.11,37368402,655.11
2026-04-23,653.55,656.92,645.52,651.42,40099827,651.42
2026-04-24,658.51,664.51,656.5301,663.88,45563050,663.88
2026-04-27,663.4,664.43,660.69,664.23,32717030,664.23
2026-04-28,657.41,659.64,653.81,657.55,34147916,657.55
2026-04-29,658.63,661.72,656.5899,661.57,31724860,661.57
2026-04-30,665.35,668.9,657.56,667.74,40622226,667.74
2026-05-01,669.16,675.97,668.8,674.15,39172607,674.15
2026-05-04,674.66,676.73,668.9,672.88,34541990,672.88
2026-05-05,677.96,682.7734,677.51,681.61,37101063,681.61
2026-05-06,687.78,695.93,686.48,695.77,38778492,695.77
2026-05-07,696.58,701.24,691.77,694.94,43779087,694.94
2026-05-08,699.92,711.23,699.5,711.23,44320421,711.23
2026-05-11,710.36,714.59,708.91,713.29,36019146,713.29
2026-05-12,708.22,710.18,696.64,707.24,45873009,707.24
2026-05-13,709.96,716.65,704.83,714.71,40012526,714.71
2026-05-14,714.62,722.03,714.22,719.79,33327545,719.79
2026-05-15,710.14,715.13,705.55,708.93,51792656,708.93
2026-05-18,711.54,712.07,698.85,705.88,49834549,705.88
2026-05-19,699.81,706.49,695.25,701.53,46827529,701.53
2026-05-20,705.29,713.15,703.79,713.15,35403154,713.15
2026-05-21,708.99,717.12,706.77,714.51,36415360,714.51
2026-05-22,718.07,722.12,715.95,717.54,33118575,717.54
2026-05-26,725.96,731.17,724.16,730.28,34254692,730.28
2026-05-27,732.96,733.32,725.44,729.45,35148674,729.45
2026-05-28,729.73,736.6,726.41,735.6,32839952,735.6
2026-05-29,737.84,741.63,735.25,738.31,37541668,738.31
2026-06-01,737.04,745.65,735.99,742.74,33890559,742.74
2026-06-02,742.4,746.44,739.23,746.16,30085237,746.16
2026-06-03,747.31,748.65,741.01,744.21,40270198,744.21
2026-06-04,735.48,743.4988,732.62,740.61,40782580,740.61
2026-06-05,730.06,731.69,704.32,705.06,99606571,705.06
2026-06-08,717.81,723.03,713.07,716.07,47401451,716.07
2026-06-09,722.98,725.66,686.37,707.83,91932171,707.83
2026-06-10,701.66,711.28,692.93,693.69,65334283,693.69
2026-06-11,699.29,718.3721,695.0,717.12,71798857,717.12
2026-06-12,717.61,724.01,711.28,721.34,51236021,721.34
2026-06-15,738.1,744.7599,737.38,744.0,46710216,744.0
2026-06-16,742.25,744.22,729.64,729.86,45348675,729.86
2026-06-17,735.19,735.68,720.85,722.51,51669322,722.51
2026-06-18,737.2,741.82,732.51,740.62,50154595,740.62
2026-06-22,742.02,745.45,734.39,737.95,43518595,737.95
2026-06-23,715.74,723.61,712.1101,713.65,53354151,713.65
2026-06-24,715.37,719.93,704.45,710.62,52480437,710.62
2026-06-25,725.9,726.83,705.3,716.38,50144089,716.38
2026-06-26,707.13,715.555,702.81,706.52,47081821,706.52
2026-06-29,713.99,724.58,705.172,724.08,44939090,724.08
2026-06-30,724.18,737.62,723.91,736.4,40819994,736.4
