,open,high,low,close,volume,adj_close
2026-04-14,175.21,177.5,170.5,171.31,13123641,171.31
2026-04-15,174.22,179.62,172.88,177.6,14340255,177.6
2026-04-16,184.0,184.55,178.57,181.22,11866659,181.22
2026-04-17,185.43,187.98,181.03,182.14,17225680,182.14
2026-04-20,182.5,189.0,182.122,186.27,14382264,186.27
2026-04-21,186.6,193.56,184.1001,187.11,12073660,187.11
2026-04-22,188.2,191.15,187.03,189.8,14565948,189.8
2026-04-23,177.56,178.87,170.65,173.3,22719938,173.3
2026-04-24,175.62,178.45,174.4,178.16,10817611,178.16
2026-04-27,178.26,184.29,177.51,180.18,11906973,180.18
2026-04-28,182.43,184.42,181.32,181.32,8711743,181.32
2026-04-29,179.2,181.7835,177.35,181.22,6882845,181.22
2026-04-30,178.3,178.6934,173.0,176.53,14408281,176.53
2026-05-01,182.185,186.04,178.75,183.82,12324379,183.82
2026-05-04,184.24,190.31,183.97,185.48,8444726,185.48
2026-05-05,185.55,187.39,181.1,186.99,9740802,186.99
2026-05-06,185.52,187.1,179.58,181.19,11303437,181.19
2026-05-07,184.6,188.58,184.0,186.34,13955115,186.34
2026-05-08,179.68,181.8718,176.88,181.82,15123889,181.82
2026-05-11,179.905,182.5,176.31,177.49,11145016,177.49
2026-05-12,177.575,177.575,170.58,171.31,10214014,171.31
2026-05-13,169.78,169.78,164.75,165.84,11951930,165.84
2026-05-14,166.0,169.3476,164.3275,167.58,9749385,167.58
2026-05-15,169.25,175.97,169.0,173.51,13883384,173.51
2026-05-18,172.89,180.78,171.8,179.48,13671181,179.48
2026-05-19,185.0,187.44,178.81,179.42,17510823,179.42
2026-05-20,176.04,180.31,173.34,180.1,10932807,180.1
2026-05-21,175.38,177.34,171.99,176.31,10949098,176.31
2026-05-22,179.84,183.35,177.6801,180.07,10184791,180.07
2026-05-26,178.43,182.3599,177.6812,179.08,13617242,179.08
2026-05-27,178.0,183.92,176.89,177.51,18524937,177.51
2026-05-28,178.43,182.48,171.65,176.17,22559427,176.17
